code,description,coding_system,subtype,entity,list_name,upload_date
E001000,Uncomplicated presenile dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E001z00,Presenile dementia NOS,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E002.00,Senile dementia with depressive or paranoid fe...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00012,[X]Primary degen dementia Alzheimer's type p...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00013,[X]Alzheimer's disease type 2,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00011,[X]Presenile dementiaAlzheimer's type,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu02z00,[X] Unspecified dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E004000,Uncomplicated arteriosclerotic dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01100,[X]Multi-infarct dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E001.00,Presenile dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E001100,Presenile dementia with delirium,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01.00,[X]Vascular dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E002z00,Senile dementia with depressive or paranoid fe...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E004100,Arteriosclerotic dementia with delirium,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E02y100,Drug-induced dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00000,[X]Dementia in Alzheimer's disease with early ...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E004300,Arteriosclerotic dementia with depression,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E003.00,Senile dementia with delirium,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00112,[X]Senile dementiaAlzheimer's type,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E004.00,Arteriosclerotic dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E004200,Arteriosclerotic dementia with paranoia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E000.00,Uncomplicated senile dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00100,[X]Dementia in Alzheimer's disease with late o...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E004z00,Arteriosclerotic dementia NOS,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01.11,[X]Arteriosclerotic dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01000,[X]Vascular dementia of acute onset,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00.00,[X]Dementia in Alzheimer's disease,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E004.11,Multi infarct dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00113,[X]Primary degen dementia of Alzheimer's type...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00111,[X]Alzheimer's disease type 1,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E00..11,Senile dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01300,[X]Mixed cortical and subcortical vascular dem...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01y00,[X]Other vascular dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu04100,[X]Delirium superimposed on dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu02z11,[X] Presenile dementia NOS,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu02z16,[X] Senile dementia depressed or paranoid type,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu02z14,[X] Senile dementia NOS,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E002100,Senile dementia with depression,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
1461.00,H/O: dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01111,[X]Predominantly cortical dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E001200,Presenile dementia with paranoia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu02z13,[X] Primary degenerative dementia NOS,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
F110000,Alzheimer's disease with early onset,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01200,[X]Subcortical vascular dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E00..12,Senile/presenile dementia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E002000,Senile dementia with paranoia,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00z11,[X]Alzheimer's dementia unspec,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
E001300,Presenile dementia with depression,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
F110100,Alzheimer's disease with late onset,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
F112.00,Senile degeneration of brain,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
F110.00,Alzheimer's disease,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu02y00,[X]Dementia in other specified diseases classi...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00200,[X]Dementia in Alzheimer's dis atypical or mi...,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Fyu3000,[X]Other Alzheimer's disease,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu00z00,[X]Dementia in Alzheimer's disease unspecified,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
Eu01z00,[X]Vascular dementia unspecified,Read,,diagnostic,Dementia_Alzheimer_Vascular_Mixed_Nonspecific,
